TZ00031432,39.2331264,-6.79936

TZ00031432,39.2331264,-6.79936

TZ00067988,39.2331264,-6.79936

TZ00031432,39.2331264,-6.79936

TZ00031432,39.2331264,-6.79936

TZ00026131,39.2331264,-6.79936
 
TZ00026131,39.23968,-6.7862528

TZ00031432,39.2298496,-6.79936

TZ00095731,39.2298496,-6.79936

TZ00095731,39.2298496,-6.79936

TZ00067988,39.2298496,-6.79936

TZ00031432,39.2265728,-6.8124672

TZ00033317,39.2265728,-6.8124672

TZ00026131,39.2265728,-6.8059136
TZ00067988,39.2265728,-6.8059136
TZ00067988,39.1576125,-6.7864709
TZ00067988,39.2265728,-6.8059136
TZ00028302,39.2265728,-6.8059136
TZ00067988,39.2265728,-6.8059136
TZ00065356,39.2265728,-6.8059136
